============================================ === === === ======
Vendor Specific Command                      OGF CSG CMD Opcode
============================================ === === === ======
HCI_EXT_SetRxGainCmd                         63  0   0   0xFC00
HCI_EXT_SetTxPowerCmd                        63  0   1   0xFC01
HCI_EXT_OnePktPerEvtCmd                      63  0   2   0xFC02
HCI_EXT_ClkDivideOnHaltCmd                   63  0   3   0xFC03
HCI_EXT_DeclareNvUsageCmd                    63  0   4   0xFC04
HCI_EXT_DecryptCmd                           63  0   5   0xFC05
HCI_EXT_SetLocalSupportedFeaturesCmd         63  0   6   0xFC06
HCI_EXT_SetFastTxRespTimeCmd                 63  0   7   0xFC07
HCI_EXT_ModemTestTxCmd                       63  0   8   0xFC08
HCI_EXT_ModemHopTestTxCmd                    63  0   9   0xFC09
HCI_EXT_ModemTestRxCmd                       63  0   10  0xFC0A
HCI_EXT_EndModemTestCmd                      63  0   11  0xFC0B
HCI_EXT_SetBDADDRCmd                         63  0   12  0xFC0C
HCI_EXT_SetSCACmd                            63  0   13  0xFC0D
HCI_EXT_EnablePTMCmd                         63  0   14  0xFC0E
HCI_EXT_SetFreqTuneCmd                       63  0   15  0xFC0F
HCI_EXT_SaveFreqTuneCmd                      63  0   16  0xFC10
HCI_EXT_SetMaxDtmTxPowerCmd                  63  0   17  0xFC11
HCI_EXT_MapPmIoPortCmd                       63  0   18  0xFC12
HCI_EXT_DisconnectImmedCmd                   63  0   19  0xFC13
HCI_EXT_PacketErrorRateCmd                   63  0   20  0xFC14
HCI_EXT_PERbyChanCmd                         63  0   21  0xFC15
HCI_EXT_ExtendRfRangeCmd                     63  0   22  0xFC16
HCI_EXT_HaltDuringRfCmd                      63  0   25  0xFC19
HCI_EXT_SetSlaveLatencyOverrideCmd           63  0   26  0xFC1A
HCI_EXT_BuildRevisionCmd                     63  0   27  0xFC1B
HCI_EXT_DelaySleepCmd                        63  0   28  0xFC1C
HCI_EXT_ResetSystemCmd                       63  0   29  0xFC1D
HCI_EXT_OverlappedProcessingCmd              63  0   30  0xFC1E
HCI_EXT_NumComplPktsLimitCmd                 63  0   31  0xFC1F
HCI_EXT_GetConnInfoCmd                       63  0   32  0xFC20
HCI_EXT_SetMaxDataLenCmd                     63  0   33  0xFC21
HCI_EXT_SetDtmTxPktCntCmd                    63  0   36  0xFC24
HCI_EXT_EnhancedModemTestTxCmd               63  0   39  0xFC27
HCI_EXT_EnhancedModemHopTestTxCmd            63  0   40  0xFC28
HCI_EXT_EnhancedModemTestRxCmd               63  0   41  0xFC29
HCI_EXT_LLTestModeCmd                        63  0   112 0xFC70
L2CAP_DisconnectReq                          63  1   6   0xFC86
L2CAP_InfoReq                                63  1   10  0xFC8A
L2CAP_ConnParamUpdateReq                     63  1   18  0xFC92
L2CAP_ConnectReq                             63  1   20  0xFC94
L2CAP_ConnectRsp                             63  1   21  0xFC95
L2CAP_FlowCtrlCredit                         63  1   22  0xFC96
L2CAP_SendData                               63  1   112 0xFCF0
L2CAP_RegisterPsm                            63  1   113 0xFCF1
L2CAP_DeregisterPsm                          63  1   114 0xFCF2
L2CAP_PsmInfo                                63  1   115 0xFCF3
L2CAP_PsmChannels                            63  1   116 0xFCF4
L2CAP_ChannelInfo                            63  1   117 0xFCF5
ATT_ErrorRsp                                 63  2   1   0xFD01
ATT_ExchangeMTUReq                           63  2   2   0xFD02
ATT_ExchangeMTURsp                           63  2   3   0xFD03
ATT_FindInfoReq                              63  2   4   0xFD04
ATT_FindInfoRsp                              63  2   5   0xFD05
ATT_FindByTypeValueReq                       63  2   6   0xFD06
ATT_FindByTypeValueRsp                       63  2   7   0xFD07
ATT_ReadByTypeReq                            63  2   8   0xFD08
ATT_ReadByTypeRsp                            63  2   9   0xFD09
ATT_ReadReq                                  63  2   10  0xFD0A
ATT_ReadRsp                                  63  2   11  0xFD0B
ATT_ReadBlobReq                              63  2   12  0xFD0C
ATT_ReadBlobRsp                              63  2   13  0xFD0D
ATT_ReadMultiReq                             63  2   14  0xFD0E
ATT_ReadMultiRsp                             63  2   15  0xFD0F
ATT_ReadByGrpTypeReq                         63  2   16  0xFD10
ATT_ReadByGrpTypeRsp                         63  2   17  0xFD11
ATT_WriteReq                                 63  2   18  0xFD12
ATT_WriteRsp                                 63  2   19  0xFD13
ATT_PrepareWriteReq                          63  2   22  0xFD16
ATT_PrepareWriteRsp                          63  2   23  0xFD17
ATT_ExecuteWriteReq                          63  2   24  0xFD18
ATT_ExecuteWriteRsp                          63  2   25  0xFD19
ATT_HandleValueNoti                          63  2   27  0xFD1B
ATT_HandleValueInd                           63  2   29  0xFD1D
